id,name,abbreviation,location,conference
2717,Western Carolina Catamounts,WCU,Western Carolina,
2710,Western Illinois Leathernecks,WIU,Western Illinois,
98,Western Kentucky Hilltoppers,WKU,Western Kentucky,
2711,Western Michigan Broncos,WMU,Western Michigan,
2724,Wichita State Shockers,WICH,Wichita State,
2729,William & Mary Tribe,W&M,William & Mary,
2737,Winthrop Eagles,WIN,Winthrop,
275,Wisconsin Badgers,WIS,Wisconsin,
2747,Wofford Terriers,WOF,Wofford,
2750,Wright State Raiders,WRST,Wright State,
2751,Wyoming Cowboys,WYO,Wyoming,
2752,Xavier Musketeers,XAV,Xavier,
43,Yale Bulldogs,YALE,Yale,
2754,Youngstown State Penguins,YSU,Youngstown State,
